,sex,age_class,definition,need,purpose,interest,comp,triangle1,triangle2,doubleness1,doubleness2,doubleness3
0,Male,20,harmony,harmony,clothes,5,4,5,2,3,2,2
1,Female,20,bright,harmony,clothes,5,1,1,2,2,3,2
2,Female,20,bright,bright,clothes,3,2,4,1,2,1,2
3,Female,20,harmony,harmony,clothes,3,5,5,4,5,4,1
4,Female,20,bright,bright,etc,4,4,2,1,1,2,2
5,Female,20,harmony,harmony,etc,2,3,4,1,2,2,2
6,Female,20,harmony,harmony,etc,5,1,4,5,3,3,3
7,Male,20,harmony,harmony,clothes,3,1,1,3,1,5,5
8,Female,20,harmony,harmony,clothes,4,1,4,1,1,2,2
9,Female,20,bright,bright,clothes,4,5,5,2,2,1,5
10,Female,20,harmony,harmony,etc,3,5,3,2,3,5,2
11,Male,20,harmony,harmony,clothes,3,5,4,5,4,3,3
12,Female,20,harmony,harmony,etc,3,1,4,3,3,1,2
13,Female,20,bright,bright,cosmetic,3,1,3,1,1,4,2
14,Female,20,harmony,harmony,clothes,3,1,5,2,3,2,5
15,Female,50,harmony,harmony,clothes,3,2,4,4,4,4,4
16,Female,20,harmony,bright,etc,3,2,1,3,1,1,3
17,Female,20,harmony,harmony,clothes,3,3,2,3,5,1,3
18,Male,20,harmony,harmony,clothes,2,1,5,4,4,1,3
19,Female,20,bright,bright,etc,3,5,2,5,2,2,1
20,Female,20,harmony,bright,cosmetic,4,3,4,4,1,4,1
21,Female,20,harmony,harmony,cosmetic,5,1,4,5,1,1,1
22,Female,20,harmony,harmony,clothes,5,1,4,2,2,5,1
23,Female,20,harmony,harmony,etc,5,1,4,5,2,1,5
24,Male,20,harmony,harmony,clothes,2,1,3,4,2,3,2
25,Male,20,harmony,harmony,clothes,2,2,1,3,1,4,2
26,Female,20,bright,bright,etc,5,2,2,2,1,3,5
27,Female,20,bright,bright,etc,4,3,4,4,4,5,5
28,Male,30,harmony,harmony,clothes,3,4,1,1,3,2,2
29,Female,20,harmony,harmony,clothes,3,3,5,1,1,1,5
30,Female,20,bright,bright,clothes,3,1,4,5,2,1,1
31,Male,20,harmony,harmony,clothes,5,1,3,2,1,3,5
32,Female,20,harmony,bright,cosmetic,4,5,1,2,3,1,1
33,Female,40,bright,bright,etc,3,5,1,4,1,4,4
34,Female,20,harmony,harmony,etc,2,3,5,2,5,1,5
35,Female,50,bright,harmony,etc,4,3,2,3,2,2,3
36,Female,20,harmony,harmony,cosmetic,4,1,3,3,2,4,5
37,Male,20,harmony,harmony,clothes,5,5,1,4,2,1,3
38,Male,20,harmony,harmony,clothes,2,4,1,4,5,3,3
39,Female,40,bright,bright,cosmetic,5,2,4,3,2,5,1
40,Male,20,harmony,harmony,etc,5,5,1,2,1,5,5
41,Female,20,harmony,harmony,etc,2,1,4,2,2,1,5
42,Male,20,harmony,bright,clothes,4,5,4,2,2,1,4
43,Female,20,bright,bright,etc,2,4,2,1,2,2,5
44,Female,20,harmony,harmony,etc,3,5,5,4,2,3,5
45,Female,20,harmony,harmony,clothes,3,2,4,3,1,5,4
46,Female,20,harmony,harmony,etc,3,5,4,1,1,1,4
47,Female,20,harmony,bright,cosmetic,4,1,3,4,4,2,3
48,Female,20,harmony,bright,clothes,5,4,5,1,5,1,2
49,Female,20,harmony,harmony,etc,4,1,1,1,1,1,4
50,Female,20,harmony,harmony,etc,4,1,4,4,4,1,1
51,Female,30,harmony,harmony,cosmetic,3,1,4,4,4,2,5
52,Male,20,harmony,bright,clothes,4,2,4,3,2,1,1
53,Female,20,harmony,harmony,cosmetic,4,5,1,1,3,1,1
54,Female,20,bright,bright,etc,4,1,4,1,1,1,4
55,Male,20,harmony,harmony,clothes,4,3,2,3,3,5,2
56,Female,20,bright,bright,etc,4,4,2,1,1,2,2
57,Female,20,harmony,harmony,cosmetic,4,1,4,2,4,1,5
58,Female,30,bright,bright,cosmetic,1,2,2,2,3,4,1
59,Female,20,bright,bright,etc,4,1,5,5,2,1,3
60,Male,20,harmony,bright,clothes,4,2,5,3,5,5,1
61,Male,20,harmony,harmony,clothes,4,1,4,5,3,4,5
62,Female,20,harmony,harmony,cosmetic,3,3,1,2,2,4,4
63,Female,40,harmony,harmony,cosmetic,2,3,2,2,2,3,5
64,Female,20,bright,harmony,clothes,4,5,3,3,5,2,5
65,Female,20,harmony,harmony,etc,4,1,4,5,2,4,1
66,Female,20,bright,harmony,cosmetic,4,5,3,1,3,1,1
67,Female,20,bright,bright,etc,3,3,3,3,2,1,4
68,Female,20,harmony,harmony,etc,4,2,1,2,5,3,2
69,Female,20,harmony,bright,clothes,4,1,4,4,4,1,4
70,Female,20,harmony,harmony,etc,5,1,5,3,2,4,3
71,Female,20,harmony,bright,clothes,3,4,3,2,2,2,5
72,Female,20,harmony,harmony,etc,4,1,3,2,5,2,2
73,Female,20,harmony,harmony,cosmetic,4,2,1,2,4,5,3
74,Female,20,harmony,bright,cosmetic,3,4,5,1,2,4,5
75,Male,20,bright,harmony,clothes,5,1,3,1,1,1,4
76,Female,20,bright,bright,etc,5,2,4,3,5,4,1
77,Female,20,harmony,bright,clothes,3,5,3,1,2,2,5
78,Female,30,harmony,harmony,clothes,2,1,3,2,1,2,2
79,Female,20,bright,bright,etc,5,1,5,4,2,1,3
80,Female,20,harmony,harmony,etc,3,1,5,1,1,3,3
81,Male,20,harmony,bright,clothes,2,1,1,2,1,1,2
82,Female,20,harmony,bright,cosmetic,3,4,4,1,2,1,1
83,Female,20,bright,bright,clothes,4,2,4,3,2,2,3
84,Male,20,harmony,bright,clothes,3,1,4,5,4,1,3
85,Female,20,harmony,bright,cosmetic,3,5,1,1,1,4,5
86,Female,20,harmony,bright,cosmetic,3,1,2,3,2,1,4
87,Female,30,bright,bright,etc,4,3,2,2,4,1,3
88,Female,30,harmony,bright,cosmetic,3,5,1,1,4,1,4
89,Female,20,harmony,harmony,clothes,3,5,4,3,4,5,3
90,Female,20,harmony,harmony,clothes,3,1,2,2,2,4,3
91,Female,20,harmony,harmony,etc,3,2,1,1,3,1,2
92,Female,20,harmony,harmony,etc,4,5,4,1,3,3,2
93,Female,20,harmony,harmony,etc,1,3,4,1,2,1,5
94,Female,20,harmony,harmony,clothes,4,2,1,1,2,4,3
95,Female,20,harmony,harmony,etc,4,1,2,3,1,1,5
96,Male,20,bright,bright,clothes,3,5,3,1,5,2,5
97,Female,20,harmony,harmony,clothes,5,5,4,5,4,1,3
98,Female,10,harmony,harmony,clothes,2,4,1,1,3,4,2
99,Male,20,harmony,harmony,clothes,5,3,1,3,4,1,5
100,Male,30,bright,bright,clothes,3,3,4,5,2,5,4
101,Female,20,harmony,bright,etc,3,1,4,2,4,5,3
102,Male,20,harmony,harmony,clothes,3,1,4,3,4,1,3
103,Female,20,harmony,bright,etc,5,5,4,5,5,4,3
104,Female,20,harmony,harmony,etc,4,3,3,3,3,3,4
105,Male,20,harmony,harmony,clothes,3,5,1,3,5,3,4
106,Female,20,harmony,bright,etc,3,1,4,5,1,3,1
107,Female,20,harmony,harmony,clothes,3,2,4,4,2,4,4
108,Female,20,harmony,harmony,cosmetic,4,1,4,5,4,5,4
109,Male,20,harmony,harmony,clothes,2,2,1,2,4,1,3
110,Female,20,harmony,harmony,etc,4,1,3,4,2,4,4
111,Female,20,harmony,harmony,etc,4,1,4,5,2,1,5
112,Female,30,harmony,harmony,cosmetic,4,4,2,2,4,1,3
113,Male,30,harmony,bright,cosmetic,2,1,4,5,2,4,3
114,Female,20,bright,harmony,etc,4,4,5,4,1,2,5
115,Male,20,bright,harmony,clothes,2,3,2,5,4,5,5
116,Female,20,harmony,bright,clothes,3,2,5,5,4,2,1
